GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IntensiveJavaGuru,dpdev.homework_1.operations,Calculator,8,29,1,1,2,6,2,5,1,5
IntensiveJavaGuru,dpdev.homework_1,MathOperationsExample,135,0,0,0,12,0,3,0,3,0
